run_index,drill_id,family,seed,driver,passed,infrastructure_error,final_state,failed_invariants,unmet_expectations,faults_injected,tool_calls,tool_denials,duplicate_receipts,model_calls,wall_clock_s,committed,quarantined,unresolved,in_flight,total_containers,error
89,D5,idempotency,20261230,scripted,True,False,CLOSED,,,1,107,0,0,0,0.86,42,0,0,0,42,
90,D6,idempotency,20261230,scripted,True,False,CLOSED,,,1,105,0,0,0,0.76,42,0,0,0,42,
91,D7,recovery,20261230,scripted,True,False,CLOSED,,,1,105,0,0,0,0.88,42,0,0,0,42,
92,D8,safety,20261230,scripted,True,False,RECONCILING,,,0,146,0,0,0,0.97,0,0,42,0,42,
93,D9,memory,20261230,scripted,True,False,CLOSED,,,0,105,0,0,0,0.86,42,0,0,0,42,
94,D10,security,20261230,scripted,True,False,RECONCILING,,,0,106,2,0,0,0.58,0,0,0,42,42,
95,D11,security,20261230,scripted,True,False,CAPACITY_RESERVED,,,0,14,2,0,0,0.09,0,0,0,42,42,
96,D12,idempotency,20261230,scripted,True,False,CLOSED,,,0,106,0,1,0,0.75,42,0,0,0,42,
97,D13,partial,20261230,scripted,True,False,RECONCILING,,,0,100,0,0,0,0.88,40,0,0,2,42,
98,D14,partial,20261230,scripted,True,False,RECONCILING,,,0,104,0,0,0,0.75,41,0,0,1,42,
99,D15,availability,20261230,scripted,True,False,CONTAINED,,,3,8,0,0,0,0.06,0,0,0,42,42,
100,D16,governance,20261230,scripted,True,False,RESCUE_PLANNING,,,0,31,0,0,0,0.19,0,0,0,42,42,
101,D17,availability,20261230,scripted,True,False,RESCUE_PLANNING,,,2,9,0,0,0,0.07,0,0,0,42,42,
102,D18,recovery,20261230,scripted,True,False,CLOSED,,,0,105,0,0,0,0.88,42,0,0,0,42,
103,H1,idempotency,20261230,scripted,True,False,CLOSED,,,1,105,0,0,0,0.87,42,0,0,0,42,
104,H2,safety,20261230,scripted,True,False,CLOSED,,,0,106,0,0,0,0.81,42,0,0,0,42,
105,H3,partial,20261230,scripted,True,False,RECONCILING,,,0,105,0,0,0,0.79,41,0,0,1,42,
106,D1,signal,20261331,scripted,True,False,OBSERVING,,,0,3,0,0,0,0.04,0,0,0,0,0,
107,D2,core,20261331,scripted,True,False,CLOSED,,,0,105,0,0,0,0.88,42,0,0,0,42,
108,D3,idempotency,20261331,scripted,True,False,CAPACITY_RESERVED,,,0,12,0,0,0,0.12,0,0,0,42,42,
109,D4,concurrency,20261331,scripted,True,False,CLOSED,,,0,106,0,0,0,0.94,42,0,0,0,42,
110,D5,idempotency,20261331,scripted,True,False,CLOSED,,,1,107,0,0,0,0.93,42,0,0,0,42,
111,D6,idempotency,20261331,scripted,True,False,CLOSED,,,1,105,0,0,0,0.92,42,0,0,0,42,
112,D7,recovery,20261331,scripted,True,False,CLOSED,,,1,105,0,0,0,0.91,42,0,0,0,42,
113,D8,safety,20261331,scripted,True,False,RECONCILING,,,0,146,0,0,0,1.15,0,0,42,0,42,
114,D9,memory,20261331,scripted,True,False,CLOSED,,,0,105,0,0,0,0.97,42,0,0,0,42,
